created_at,id,screen_name,lang,favorite_count,retweet_count,full_text,translated_full_text
Tue Jun 09 14:07:14 +0000 2020,1.27E+18,DataSciBae,en,1817,395,"🎉 Despite everything awful in world I'm so proud to officially announce my book, ""Uncovering Bias in Machine Learning"" by Wiley Publishing for release next fall. 

✨ I'm excited to shed light on algorithmic bias on a bigger scale. 

Let me know who I should be interviewing! #ml", 世界のすべてのひどいものにもかかわらず、私は来年の秋にワイリー出版から発売される私の本『機械学習におけるバイアスの発見』を正式に発表できることをとても誇りに思っています。   より大きなスケールでアルゴリズムのバイアスに光を当てることに興奮しています。  私がインタビューすべき人を教えてください。#ML
Tue Jun 09 21:06:27 +0000 2020,1.27E+18,sherrirose,en,1584,32,"Ecstatic to be joining the tenured faculty at 𝐒𝐭𝐚𝐧𝐟𝐨𝐫𝐝! 🤩

Looking forward to new collaborations in health policy, statistical machine learning, and AI as well as returning home to California. 🌅 https://t.co/Jn4WzlkBKs",この度、カリフォルニア大学の在職教員に加わることになり、大変嬉しく思っています。  健康政策、統計的機械学習、人工知能の分野での新たな共同研究と、カリフォルニアに戻ることを楽しみにしています。
Mon Jun 08 04:48:47 +0000 2020,1.27E+18,chrisalbon,en,984,175,"Since 2017, I have had a standing offer: 

If FOR ANY REASON you cannot afford my Machine Learning Flashcards, DM me and I’ll send you a 100% coupon code — no questions asked.

Dozens of you all have broken into ML using the cards and sent me a note. They mean the world to me. https://t.co/jXfJY0qE6w","2017年以来、私はスタンディングオファーを持っていました。

何らかの理由で私の機械学習フラッシュカードを買う余裕がない場合は、私にDMを送ってください、と私はあなたに100％のクーポンコードを送ります - 質問はありません。

何十人もの皆さんがこのカードを使ってMLに参入し、私にメモを送ってくれました。彼らは私にとって世界を意味します。https://t.co/jXfJY0qE6w"
Tue Jun 09 22:38:29 +0000 2020,1.27E+18,yanelixoxo,en,801,85,"When you put God first, he’ll bless the rest.

-B.S.A in Mathematics from THE University of Texas at Austin
-African and African Diaspora Studies Minor
-Spanish Certicficate 
-First Generation Graduate 
-Latina Graduate

Up Next: Data Science Master’s https://t.co/hA6TyJlsXD",神を第一に考えれば、他のことも祝福される。 -テキサス大学オースティン校で数学の学士号を取得 -アフリカ・アフリカ・ディアスポラ研究副専攻 -スペイン語検定 -第一世代の卒業生 -ラテン系の卒業生 次へ データサイエンスマスターズ https://t.co/hA6TyJlsXD
Tue Jun 09 18:14:28 +0000 2020,1.27E+18,michaelmontano,en,646,49,"Big news! I’m excited to welcome @nickcald to Twitter as our new Consumer Engineering Lead. Nick will lead the teams responsible for building Twitter across client, backend and machine learning, focused on accelerating how we serve the public conversation.",ビッグニュース 私たちの新しいコンシューマー・エンジニアリング・リードとして@nickcaldをTwitterに迎え入れることに興奮しています。ニックは、クライアント、バックエンド、機械学習を横断してTwitterを構築するチームを率いて、一般の人々の会話に貢献する方法を加速させることに焦点を当てています。
Mon Jun 08 00:42:50 +0000 2020,1.27E+18,shiumachi,ja,403,99,データサイエンスにおけるWebアプリフレームワークとしてはFlaskはオワコン、時代はStreamlit、という内容。Streamlit知らなかったので試してみるか https://t.co/hcZCarb0Fo,
Tue Jun 09 09:53:34 +0000 2020,1.27E+18,TheInsaneApp,en,366,233,"50 Free Machine Learning and Data Science E-Books

https://t.co/NdC57BCF7X

#theinsaneapp #ML #AI
#MachineLearning #BigData #DataScience #IoT #RStats #JavaScript #ReactJS #CloudComputing #Serverless #WomenWhoCode #Linux #100DaysOfCode #Python #programming #Coding #nodejs #books https://t.co/7W6wcSTkz9",機械学習とデータサイエンスの無料電子書籍50冊https://www.datasciencecentral.com/profiles/blogs/50-must-read-free-books-for-every-data-scientist-in-2020-1 ...#theinsaneapp #ML #AI#MachineLearning #BigData #DataScience #IoT #RStats #JavaScript #ReactJS #CloudComputing #Serverless #WomenWhoCode #Linux #100DaysOfCode #Python #programming #Coding #nodejs #books
Mon Jun 08 08:52:54 +0000 2020,1.27E+18,_stakaya,ja,363,80,"データサイエンティストになる魅力がなくなってきた理由を４つの理由（ジュニアのポジションが減っている、アナリスト職種で良い、データサイエンスを簡単だと思いすぎ、AutoML出てきた）とともに紹介。

Why Is Data Science Losing Its Charm? by @iamharshitahuja https://t.co/fqRUil9QLr",
Mon Jun 08 09:00:45 +0000 2020,1.27E+18,usdatascientist,ja,359,29,"新卒入社後の仕事は資料作成とかの雑務．上の人の好みに振り回されて毎晩終電まで働いてた

その後データサイエンスxプログラミングx英語を死ぬ気で勉強して人生変わった

今は9-17時でAI開発やってる．給料も4倍
かなり遠回りをしてきたので，他の人が最短を通れるようにブログ等で情報を発信します",
Mon Jun 08 15:30:19 +0000 2020,1.27E+18,DeepMind,en,343,127,"In this lecture, @ThoreG explains our machine learning based approach towards AI. He shows how deep learning and RL can be combined to build intelligent systems - including AlphaGo, AlphaStar &amp; more. 

Watch it in full here: https://t.co/rKATzyFddA (@ai_ucl) #AtHomeWithAI https://t.co/Q1asImfQmX","この講義では、@ThoreG氏がAIに対する機械学習ベースのアプローチを説明しています。彼は、ディープラーニングとRLをどのように組み合わせて、AlphaGo、AlphaStarなどのインテリジェントなシステムを構築することができるかを示しています。

詳細はこちらでご覧ください: https://t.co/rKATzyFddA (@ai_ucl) #AtHomeWithAI https://t.co/Q1asImfQmX"
